Jugador,partido,walkingRhythm_ritmo,joggingRhythm_ritmo,lowSpeedRunningRhythm_ritmo,highSpeedRunningRhythm_ritmo,sprintRhythm_ritmo,veryHighSpeedRhythm_ritmo,acc_dist_0_1,acc_dist_1_2,acc_dist_2_3,acc_dist_3_4_aceleraciones,acc_dist_5_6_aceleraciones,max_acceleration_aceleraciones,num_efforts_0_1_aceleraciones,num_efforts_1_2_aceleraciones,num_efforts_2_3_aceleraciones,num_efforts_3_4_aceleraciones,num_efforts_5_6_aceleraciones,num_efforts_max_acc_aceleraciones,totalDistance,walkingDistance_umbral_est,joggingDistance_umbral_est,lowSpeedRunningDistance,highSpeedRunningDistance,sprintDistance,veryHighSpeedDistance,avgSpeed,maxSpeed,distance_above_60_percent,distance_above_75_percent,distance_above_85_percent,distance_above_90_percent,distance_above_95_percent_umbral_rel,maxSpeed_umbral_rel,esfuerzos_high_speed_running,esfuerzos_sprint,esfuerzos_velocidad_muy_alta,esfuerzos_above_75_percent,esfuerzos_above_85_percent,esfuerzos_above_90_percent,esfuerzos_above_95_percent_umbral_rel,esfuerzos_ponderados,anómalo
Alisson,Liverpool - Bournemouth,44.2714052685797,7.3360307789197075,0.9618260002172636,0.1844698732222802,0.1097964428065659,0.0,4841.69,241.67,47.18,10.57,0.0,8.04,2,0,0,1,0,2,5084.766581547515,4258.318901433787,705.628347188357,92.5148368742312,17.743542205673727,10.560953845420892,0.0,3.1694357499306904,28.09200000000001,75.63389753449991,19.20864115833943,13.272339982005892,10.560953845420892,7.671444929485286,28.152,4,1,0,2,1,1,1,5.9,1
Alisson,Liverpool - Newcastle,45.91625709055403,10.45234756885752,1.818618697700808,0.5938895648172928,0.0676021671632412,0.0,5585.51,412.75,93.92,23.9,0.0,7.77,3,0,0,1,0,2,6052.198022145948,4722.180933382879,1074.9542651398704,187.0328089338768,61.07758247769311,6.9524322116249415,0.0,3.5352064953165017,25.272,240.73126098975465,94.74543454793611,47.08465599626543,24.08311938115737,15.08594596770321,25.452,9,2,0,12,7,4,2,27.9,-1
Alisson,Everton - Liverpool,43.62668500022176,10.5620550966901,0.7511900422785398,0.0112027683274627,0.0,0.0,5125.93,322.38,36.42,1.25,0.0,8.5,2,1,0,0,0,2,5422.760965756975,4305.226698105217,1042.2988037917014,74.1299373388539,1.105526521115114,0.0,0.0,3.2920361425434894,20.016,280.7343984273238,71.90311453935504,25.201319196225025,12.654017532442529,5.501608419858814,20.304,1,0,0,12,7,3,1,25.1,1
Alisson,Liverpool - Brighton,42.1654859127958,9.280446846222564,0.4006465466876138,0.1200227828912584,0.0,0.0,4775.62,352.21,54.55,8.72,0.0,8.54,2,1,0,0,0,2,5121.4818578382265,4155.549188325736,914.6189715180544,39.48505266455331,11.828645329876492,0.0,0.0,3.123899614421972,21.864000000000004,118.41857768103468,30.689429465339973,16.086256557882294,11.828645329876492,8.354061953879055,22.464,2,0,0,6,3,2,2,14.9,1
Alisson,Arsenal - Liverpool,42.07429397154859,12.260224748865497,1.1418754660654251,0.3603853894809716,0.0399941117306177,0.0,5339.57,493.91,60.22,6.79,0.0,8.41,2,1,0,0,0,2,5818.448444099293,4381.196231257355,1276.6572030993643,118.90349228139272,37.52693060665358,4.164586854509225,0.0,3.3580526265245374,25.068000000000005,161.06868330457098,66.26113186953603,20.988269271769195,16.134610915413372,9.610670683816153,25.272,4,2,0,8,1,1,1,11.9,1
Alisson,Liverpool - Manchester City,44.862820162699215,9.946907799615683,0.3135264118349571,0.1307511305718236,0.0,0.0,5263.09,341.04,42.05,4.87,0.0,7.96,2,0,1,0,0,2,5575.12915542647,4526.658554416351,1003.6429969812226,31.63481495414717,13.192789074697004,0.0,0.0,3.3163684836471754,23.616000000000003,62.23850967991061,22.65564780746851,14.229994335733796,6.354678456290205,3.8842297478108234,23.868,3,0,0,4,3,1,1,10.1,1
Alisson,Liverpool - West Ham,45.37432285238789,9.460206828850303,0.5405959531760799,0.0633207697296939,0.0,0.0,5023.17,355.3,47.11,5.75,0.0,8.5,3,0,0,1,0,2,5356.83228121111,4384.369569483401,914.1082518490422,52.23598496889402,6.118474909747898,0.0,0.0,3.3211076307437564,23.77200000000001,89.65624509436931,19.69814425478555,5.074587942686808,5.074587942686808,3.805655758175402,24.192,1,0,0,4,1,1,1,7.9,1
Alisson,Nottingham Forest - Liverpool,42.40177893347808,8.672815436817023,1.5882309475351843,0.2851440202733455,0.1055833397152364,0.0,4852.16,278.17,37.22,2.82,0.0,8.0,2,1,0,0,0,2,5119.490988233934,4091.630327817523,836.8977802680535,153.25899233398684,27.515447476310264,10.1884403380546,0.0,3.176243186293137,27.06,132.9958239787202,32.11437338025644,16.810049621477045,11.589090980514104,7.366310152501075,27.252,3,1,0,2,1,1,1,5.9,1
Alisson,Liverpool - Leeds,41.82934347036587,11.207486080746682,1.2717282513501025,0.3847251686436281,0.0901494470901279,0.0,4947.4,409.68,161.41,15.74,0.0,7.93,2,0,0,2,0,2,5471.0387841638485,4177.357101240538,1119.2542765972353,127.00326136816354,38.42122017521032,9.00292478273411,0.0,3.273528905206943,28.248000000000005,109.92299968047448,34.91536274993286,11.746235981518758,9.00292478273411,4.635577543450343,28.44,6,1,0,4,1,1,1,7.9,1
Mohamed Salah,Fulham - Liverpool,40.72289961734001,33.5402914622965,9.773988014354346,4.137790025988598,1.9494517611614857,0.1924062624884664,7231.39,1225.25,353.73,61.4,0.0,8.39,1,1,1,2,0,2,8813.417048765978,3973.876287658763,3272.973441862433,953.778330400745,403.7793433693873,190.23400102667495,18.77564444783285,5.454842152006832,31.716,703.5761645755881,271.55583808237486,96.08911157824218,46.39632626381239,12.005057680031635,32.184,47,19,4,22,9,6,2,42.7,1
Mohamed Salah,Liverpool - Crystal Palace,40.2948283960247,38.42563898574083,9.132900780315028,4.132307479859546,1.6143927398717397,0.34442799073116,7505.64,1365.52,368.75,78.08,0.82,7.95,0,1,2,7,0,1,9310.525887161451,3993.486126235354,3808.236994413488,905.1313533344214,409.53921997061343,159.9970831395552,34.13511006806284,5.652953921700525,31.548,736.2060730844856,281.90709367714976,112.84135600221836,71.43531518790162,37.46467972854826,31.716,51,21,5,24,9,7,5,50.5,1
Mohamed Salah,Manchester United - Liverpool,43.2192472232658,37.01652424439113,9.523946471718364,3.793293229021946,1.101546847298752,0.0,7687.43,1167.66,273.97,51.62,0.0,10.15,2,0,2,1,0,3,9129.432120613936,4168.496394683987,3570.2437633715244,918.584637197236,365.8631319391667,106.24419342196462,0.0,5.685859409020219,28.824000000000005,863.7021626276444,305.08050181780067,132.24071045959388,59.67667826277446,15.6333190757975,28.980000000000004,45,13,0,31,13,8,2,58.7,1
Mohamed Salah,Liverpool - Bournemouth,41.8955042546217,34.5565618113066,8.931681772097116,3.6005689278286184,1.351627962046972,0.8481043897233144,7260.68,1127.99,321.81,115.42,0.75,8.11,0,1,1,3,0,1,8770.689737793871,4029.788902571213,3323.880492090212,859.1086973854481,346.32672327140875,130.0085882427581,81.57633423285321,5.477724909897423,34.50000000000001,488.240123798568,179.0650975629258,91.42187611115888,57.6929548100932,22.53538162430584,34.632,46,16,5,11,5,5,1,24.5,1
Mohamed Salah,Liverpool - Newcastle,40.86118923273222,35.91148989546043,10.426079000120204,5.428719049452603,2.699565753431755,0.6887911642406225,7820.23,1536.35,458.83,115.04,0.0,9.98,2,0,0,7,0,3,9874.588431155127,4202.300904658291,3693.257325815469,1072.252717969029,558.3075627758706,277.63234063543314,70.83757930105308,5.777035037111465,34.89600000000001,779.9746282400499,242.0915151373824,75.80190266735909,35.17794013394339,17.178995244432574,34.992000000000004,66,30,6,22,6,2,1,32.7,1
Mohamed Salah,Everton - Liverpool,40.19149044843829,36.42693952881232,11.801023987657835,5.379623951795481,2.1637206372178137,0.7261381590702458,7881.02,1343.83,324.64,50.08,0.0,10.62,1,1,1,2,0,3,9541.586571293665,3966.230249086719,3594.7318158349626,1164.5643838487008,530.8792236430174,213.52316488277796,71.6577339975821,5.82703117716602,34.092000000000006,746.8771244247421,248.7307217916437,102.6960963043486,59.918863048303216,35.24948794155874,34.236,51,18,4,16,5,2,2,27.1,1
Mohamed Salah,Liverpool - Brighton,38.54190119897367,41.22253194565854,15.723903942829908,8.282429579689296,3.104345632797889,0.5087649656182243,8185.71,1791.67,560.59,103.58,0.0,8.16,1,1,1,5,0,3,10583.039050779438,3798.432836162852,4062.617931684468,1549.6431465790304,816.2610431769792,305.943609931008,50.14048324489473,6.46406061016032,33.20400000000001,1187.524632033707,361.7690721174409,96.64882252283536,48.44956387524074,14.470142563218875,33.444,89,29,6,28,9,6,2,48.7,1
Mohamed Salah,Arsenal - Liverpool,36.12010385755113,42.99483486657036,20.117678672369312,6.434132610640838,1.8455446384616063,0.0,6559.08,1208.12,265.96,47.99,0.0,8.29,2,0,1,6,0,2,8042.278013805884,2701.904168891016,3216.1569641356846,1504.8694236221324,481.2945663846368,138.0528907723897,0.0,6.475185776034937,28.872000000000007,1300.9044900563615,396.0036900660619,153.15337087077992,116.7829518859708,55.92331099721965,28.980000000000004,48,8,0,29,9,8,6,58.3,-1
Mohamed Salah,Liverpool - Manchester City,36.18937381892554,54.66371771691696,17.85291279968947,9.356229106521582,2.9195888121360767,0.3461260688149147,8656.22,1806.95,461.27,66.68,0.0,8.0,1,1,1,2,1,2,10932.052570397238,3260.7832123312546,4925.3831786866085,1608.6069529613535,843.0274299279496,263.0646839361676,31.187112553786537,7.309133587362659,32.43600000000001,1261.6051992719565,357.08585454098727,120.38815563217118,55.82478961898019,21.040417216542306,32.580000000000005,80,20,3,26,10,8,3,51.9,1
Mohamed Salah,Liverpool - West Ham,35.172590553843925,53.129966909346045,17.1076259296793,6.320962547039645,2.823364118384976,0.3693449055546897,8789.36,1827.85,451.93,95.87,0.0,7.61,1,2,0,5,0,2,11104.709025640264,3398.610183249426,5133.771602560411,1653.0528681651456,610.7735410452842,272.8122635458123,35.688567074064494,6.921959155512626,31.524000000000004,1145.8971692061875,390.649241485129,183.4010513164264,97.29537646111832,29.03378581267399,31.788,71,21,6,26,13,9,5,59.5,-1
Mohamed Salah,Nottingham Forest - Liverpool,40.80799780609983,36.452516560257294,8.671228353072758,4.690992349454071,1.5097901374849554,0.1090255182132821,7417.63,1191.43,290.29,52.09,1.74,8.25,1,1,2,3,2,8,8901.002173086465,3937.83576162928,3517.546339676295,836.744631977011,452.66512508115295,145.68971563350658,10.520599089187684,5.551287505613321,34.89600000000001,460.87438770748895,74.58265895872904,5.5184019619319695,5.5184019619319695,5.5184019619319695,36.0,43,12,3,7,1,1,1,10.9,-1
Mohamed Salah,Liverpool - Leeds,39.94595709478316,41.6570316704993,10.493449188618092,4.904714867787964,2.7434640770381136,1.0382214335807638,8189.03,1481.63,383.2,67.16,0.0,8.42,1,2,0,4,0,3,10064.846121453222,3989.269581865678,4160.14889616053,1047.9457923033267,489.8175247964247,273.9806124935396,103.68371383359894,6.072299599465956,34.56,786.4369890953362,299.03618772866974,126.59214526897566,76.53760266786986,32.26598730081971,34.632,55,23,6,17,9,5,1,34.9,1
